Name,유동비율,당좌비율,이자보상비율,고정장기적합률,부채비율,자기자본비율,차입금의존도,차입금비율,현금및현금성자산구성비율,유형자산구성비율,무형자산구성비율,차입부채조달금리(평균),차입부채조달금리(기말),차입부채/영업이익,현금흐름/총자산,현금흐름/총자본,현금흐름/총부채,현금흐름/총차입부채,현금흐름/영업수익,유보율,유보액/총자산,매출총이익률,영업이익률,총자산순이익률,투하자본수익률,EBITDA마진율,당기순이익률,ROA(영업이익),ROE(영업이익),총자산회전율( ROA 유사),총부채회전율,총자본회전율,주가수익비율(PER),주가장부가비율(PBR),주가매출액비율(PSR),매출채권회전율,재고자산회전율,직원수,임원수,신용등급 (채권),최대주주등 보유비율,총자산대비CFPS,감사의견
데브시스터즈,3.537779774,3.534414515,0.0337569,0.766832517,0.649101148,0.606390945,0.063287476,0.104367448,,,,,,0.305757273,0.061376175,0.10121552,0.155931815,0.969799696,0.045486145,33.62430386,0.725195597,,0.15339821,0.039078143,0.245174392,0.080091849,0.028960979,0.206986002,0.341340853,1.349337794,3.428116718,2.225194496,48.435435,25.58975222,1.402737602,,,348,2,4,24,0.288578511,적정의견
자이언트스텝,8.541525129,8.539317275,-0.078233869,0.854073202,0.130349012,0.884682515,0.040104528,0.045332113,,,,,,-1.981734298,0.248801526,0.281232557,2.157535014,6.203826345,1.078469908,10.61458124,0.806262215,,-0.087720879,0.211086402,2.437419924,1.462607757,0.914987686,-0.020237086,-0.02287497,0.230698626,2.00055189,0.260769962,16.49446571,4.737396595,15.09223301,,,291,3,6,48,0.003741769,적정의견
한국정보통신,1.866297293,1.811074985,0.019736114,0.809792902,0.811585325,0.552002705,0.046482327,0.084206702,,,,,,0.788370661,-0.000263127,-0.000476678,-0.000587342,-0.005660807,-0.000194616,10.70683645,0.519999476,,0.043608406,-0.008687938,-0.079468485,0.000927294,-0.006425834,0.058959991,0.106811054,1.35203269,3.017948337,2.44932258,-131.0516332,-115.1021118,0.842116067,,,247,9,5,45,0.183626337,적정의견
위메이드맥스,3.027385146,3.027385146,-0.132788795,0.835821897,0.955291735,0.511432633,0.300747342,0.588048793,,,,,,55.1098632,2.834062337,5.541418665,5.800760604,9.423399445,4.263127936,2.694945743,0.398330519,,0.008209022,1.166102322,0.068262167,4.624094774,1.754105166,0.005457233,0.010670482,0.664784726,1.360681802,1.299848081,6.326622228,0.857557678,11.09756074,,,23,5,4,45,1.562688704,적정의견
스카이라이프,1.636055204,1.624949694,0.030677779,0.38695866,0.582782074,0.631798917,0.201620237,0.319120897,,,,,,3.522330232,0.154051807,0.243830438,0.418390423,0.764069168,0.257481099,5.682668362,0.532586273,,0.095671505,0.021104512,0.031795842,0.280502119,0.035273933,0.057240583,0.090599369,0.598303362,1.624936454,0.946983836,15.16982715,47.38323162,0.535099459,,,373,13,6,50,0.102404787,적정의견
다날,3.291215423,3.28576099,0.651710689,1.157959263,1.232666647,0.447894898,0.333113884,0.743732259,,,,,,16.99422566,0.000869845,0.001942075,0.001575507,0.002611256,0.002480245,9.129488532,0.386553798,,0.055891239,-0.001845221,-0.124894722,0.007987258,-0.005261393,0.019601592,0.043763822,0.350709572,0.63522248,0.783017565,-209.6477656,-541.9405423,1.103039277,,,267,3,4,18,0.003418596,적정의견
LG헬로비전,1.622824255,1.585005878,0.355328066,0.472831707,1.281044857,0.438395587,0.396198396,0.903746314,,,,,,13.25156973,0.044994569,0.10263463,0.080117904,0.113565752,0.061989758,2.369450791,0.308286673,,0.041191275,0.044578103,1.669260801,0.024621749,0.061415986,0.029898224,0.068199189,0.72583875,1.292437762,1.655670748,5.55418299,22.43253834,0.341115627,,,"1,064",12,6,50,-0.001212926,적정의견
덱스터,1.865131332,1.865131332,-0.080589877,0.532064816,0.51985362,0.6579581,0.179929339,0.273466257,,,,,,-29.91358941,0.03332091,0.050642905,0.097417625,0.185188863,0.07335641,3.815631737,0.511608086,,-0.013242033,-0.004721717,-0.006937449,0.082026581,-0.010394922,-0.00601497,-0.009141874,0.454233099,1.328004257,0.690367821,-857.1490155,-211.7873423,8.909996892,,,308,3,2,21,0.377078913,적정의견
KG이니시스,1.004068534,0.993600724,0.119161043,0.549583763,1.786759384,0.358839736,0.247963174,0.691013702,,,,,,3.325069228,0.065044541,0.181263485,0.101448179,0.262315327,0.091918806,26.03283937,0.253981245,,0.105385295,0.043416676,0.176452392,0.149745564,0.061355018,0.074573838,0.207819343,0.707630396,1.103671631,1.971995644,5.653689791,23.03262472,0.34688224,,,239,3,4,41,0.067279435,적정의견
롯데정보통신,1.653245806,1.614549876,0.015948102,0.541264384,0.731423919,0.577559308,0.14090177,0.243960696,,,,,,2.644591154,0.10170937,0.176102035,0.240766033,0.721845931,0.082038086,4.792493497,0.49182644,,0.042974662,0.046203387,0.101135158,0.08774541,0.037267338,0.053279226,0.092248927,1.239782331,2.934808019,2.146588782,10.06403138,21.64343481,0.37505966,,,"2,937",8,3,65,0.220592554,적정의견
상상인,7.380618478,7.348462086,0.011809191,2.604259439,6.167458289,0.139519473,0.046588561,0.333921566,,,,,,2.025804865,0.019071272,0.136692544,0.022163513,0.409355243,0.192558231,11.33748163,0.112848341,,0.232201018,0.01779784,0.041133532,0.247022993,0.179700685,0.022997556,0.164834023,0.099041581,0.115100316,0.709876401,3.354685949,56.1865936,0.602839363,,,167,7,4,32,0.011484677,적정의견
한글과컴퓨터,1.769428249,1.491341101,0.182567678,0.47875978,0.540181741,0.649274026,0.110949448,0.170882315,,,,,,2.169964156,-0.084578609,-0.13026643,-0.241152967,-0.762316627,-0.182831721,21.04750413,0.329708764,,0.110525781,-0.087018922,-0.164683765,-0.111404973,-0.18810689,0.051129623,0.078748911,0.462603584,1.318988665,0.712493594,-4.498494091,-11.49175353,0.846197734,,,383,7,7,31,0.084337439,적정의견
루닛,1.022747801,1.021578593,-0.089354309,0.999505764,45.0582976,0.021711614,0.010011888,0.461130518,,,,,,-0.020560273,0.485880517,22.37882969,0.496663897,48.5303592,6.868417466,-0.56042042,-0.027680157,,-6.883578985,0.046578048,1.331120542,10.67661574,0.658428289,-0.486953062,-22.42822929,0.070741262,0.072311257,3.258222117,73.14795428,21.46934116,48.16268236,,,306,0,0,0,-0.349891245,적정의견
사람인에이치알,1.353993496,1.353993496,0.001150092,0.288825115,0.275114752,0.784243142,0.052207436,0.066570472,,,,,,0.258590425,0.182948359,0.233280151,0.847937633,3.504258629,0.274535114,26.08464171,0.785459091,,0.302962802,0.164368927,1.228071509,0.328932255,0.246654534,0.201892379,0.257435951,0.666393294,3.088630884,0.849727919,10.02215122,6.083874966,2.472009035,,,466,4,5,48,0.108265102,적정의견
쿠콘,1.793183392,1.793183392,0.00640378,0.600836041,0.557742434,0.641954651,0.00508607,0.007922786,,,,,,0.061053304,0.056650377,0.088246696,0.158221233,11.1383408,0.186214171,24.71405829,0.617455284,,0.273831281,0.035456123,0.263761106,0.345557697,0.116547019,0.083305395,0.12976835,0.304221619,0.849673426,0.473898925,44.75163857,28.20387342,5.215670079,,,194,7,5,34,0.232522456,적정의견
키다리스튜디오,1.23228492,1.226967208,0.10732138,0.277979074,0.302332108,0.767853295,0.078319322,0.101997768,,,,,,3.282664263,0.030774099,0.040078097,0.132563152,0.39293112,0.074952877,11.83709556,0.708076472,,0.058109269,0.0121737,0.019023676,0.103275846,0.029650059,0.023858462,0.031071642,0.410579288,1.768619924,0.534710589,86.73842507,82.14429517,2.571799382,,,238,2,4,46,0.070853473,적정의견
조이시티,1.134032461,1.134032461,0.048424216,0.456603209,1.444029273,0.409160402,0.457057263,1.117061331,,,,,,4.980157678,0.049057801,0.119898703,0.083030659,0.107334037,0.057891277,3.189330063,0.311493139,,0.108301025,0.029717783,0.466979334,0.131236052,0.035068844,0.091775661,0.224302402,0.847412672,1.434251656,2.071101376,40.38100167,33.64988602,1.416115043,,,286,4,5,37,0.014399724,적정의견
컴투스홀딩스,0.261512632,0.261512632,0.241903122,0.071461855,0.531064613,0.6531403,0.249351433,0.381773156,,,,,,3.793702289,0.001748354,0.002676843,0.005040523,0.007011607,0.007104859,110.0805939,0.631050479,,0.267100447,-0.004969623,-0.047521133,0.038698475,-0.020195259,0.065727728,0.100633399,0.246078691,0.709447337,0.376762375,-103.4119388,-201.2225142,2.088430861,,,291,4,5,36,0.605698199,적정의견
KX,1.222447693,1.05675687,0.148377689,0.42348443,1.587060346,0.386539108,0.447250946,1.157065189,,,,,,5.053326076,0.074445159,0.192594118,0.121352738,0.166450534,0.21573679,13.95678287,0.379495045,,0.256484839,0.076587554,2.198337656,0.336574722,0.2219453,0.088506251,0.228971013,0.345074007,0.562503678,0.892727281,4.460335494,13.05695178,0.9899505,,,87,8,11,39,0.044187051,적정의견
현대퓨처넷,2.656752016,2.47743895,0.133108482,0.436078024,0.205608283,0.829456809,0.03583025,0.043197246,,,,,,4.998741862,0.124355559,0.149924092,0.729173407,3.470686327,0.940645241,12.77412857,0.697226259,,0.054218786,0.08232312,0.378738154,0.312957535,0.622705181,0.007167854,0.008641624,0.132202401,0.775184284,0.15938431,3.281838173,12.14725584,2.043617635,,,50,6,3,66,0.08510151,적정의견
큐브엔터,1.702814831,1.413648655,0.121709784,0.575498164,0.651315842,0.60557767,0.074741358,0.123421589,,,,,,3.838882508,0.56997065,0.941201563,1.44507703,7.625907047,0.481136269,4.194055961,0.476676014,,0.016435078,0.490606816,1.424925357,0.595642303,0.414141909,0.019469561,0.032150395,1.184634555,3.003467259,1.956205808,9.230456471,2.038292107,3.822718862,,,142,2,6,48,-0.036018573,적정의견
YG PLUS,1.91007164,1.83217567,0.225013397,0.544124446,0.531173933,0.653093668,0.059763969,0.091509031,,,,,,3.462683672,0.257579381,0.394398834,0.74250412,4.30994438,0.372453646,3.166920601,0.459027761,,0.024956734,0.235489138,0.089798233,0.34384175,0.340511681,0.017259436,0.026427199,0.691574331,1.993547731,1.058920588,5.004565367,4.246480362,1.704112966,,,104,2,7,34,0.47538023,적정의견
