Name,총자산대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,총자산대비금융자산,총자산대비단기금융자산,금융자산수익률,단기금융자산수익률,총자산대비유가증권,유가증권수익률,유형자산감가상각률,총자산대비유형자산,무형자산상각률,총자산대비무형자산,개발비계상비율,재고자산회전율,매출원가율,총자산대비재고,유효이자율,단기유효이자율,총자산대비차입금,역마진여부,단기역마진여부,감사의견
하나금융16호스팩,0.154263114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025329464,0,0.113133899,-0.025329464,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBKS제16호스팩,0.181563508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013696856,0,0.162019242,-0.013696856,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이베스트스팩5호,0.185020859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029123689,0,0.175723487,-0.029123689,0,적정의견
키움제6호스팩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001337918,0,0.743128651,-0.001337918,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유진스팩6호,0.000539083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032433298,0,0.151369253,-0.032433298,0,적정의견
하나금융20호스팩,0.119763898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006472437,0,0.129809594,-0.006472437,0,적정의견
IBKS제17호스팩,0.999973508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016866418,0,0.564100546,-0.016866418,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조흥은행,0.008883871,0,0.699992409,0,0,0,0,0,0,0,0,0.298357474,0.005321347,0.109781156,0.001161928,1,0,0.300007591,0,0,0,0.130919272,0,0,적정의견
우리은행,0.015294992,0,0.702158056,0,0,0,0,0,0,0,0,0.363600226,0.006639099,0,0.00111758,1,0,0.297841944,0,1.47848E-05,0,0.115119288,-1.47848E-05,0,적정의견
