Name,총자산대비현금,산업평균대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,산업평균대비매출채권,총자산대비유가증권,유가증권수익률,산업평균대비유가증권,유형자산감가상각률,산업평균대비유형자산감가상각률,총자산대비유형자산,산업평균대비유형자산,무형자산상각률,산업평균대비무형자산상각률,총자산대비무형자산,개발비계상비율,산업평균대비무형자산,재고자산회전율,매출원가율,총자산대비재고,산업평균대비재고,유효이자율,총자산대비차입금,산업평균대비차입금,역마진여부,감사의견
가온미디어,0.121312521,,3.492161502,0.197299845,0.039842781,0.398173134,,0.002384889,0.315854056,,0.087766295,,0.054887006,,0,,0.014389735,0,,3.30403716,0.793795686,0.337811708,,0.014881953,0.463574097,,0.300972103,적정의견
미코바이오메드,0.268511629,,2.738534753,0.487973596,0.384521235,0.124778876,,0.153900437,0.006030265,,0.066085219,,0.101580017,,0.196918282,,0.015572374,1.28E-07,,0.827454202,0.581306331,0.211450013,,0.037909833,0.170968288,,-0.031879568,적정의견
씨앤지하이테크,0.137134932,,5.77166763,0.150191665,-0.000520518,0.126061263,,0.100873875,0.019903549,,0.022498775,,0.067337268,,0.099167778,,0.008633795,0,,3.680739754,0.739833653,0.167984357,,0.052888442,0.061829626,,-0.032984893,적정의견
이구산업,0.005135475,,6.385487286,0.126085432,0.003200242,0.16164026,,0.000117552,0.043487395,,0.001830481,,0.345347105,,0.011623092,,0.002944863,0,,1.87411854,1.172552919,0.481299607,,0.011590203,0.803549959,,0.031897192,적정의견
메디콕스,0.040896533,,12.21867203,0.028966573,-2.94E-05,0.013935123,,0.187963173,0.004339611,,0.017041244,,0.458236911,,0.29408897,,8.01E-05,0,,18.44587701,0.863524508,0.008963336,,0.073415238,0.476702815,,-0.069075627,적정의견
기신정기,0.057674443,,3.389467561,0.177069656,0.031279729,0.146180434,,0.182878023,0.018147957,,0.009254762,,0.405220891,,0.004587897,,0.002989151,0,,3.315134707,0.843374298,0.122993632,,0.044742105,0.004825662,,-0.026594148,적정의견
모베이스전자,0.008381559,,3.784298637,0.090648876,0,0.279642489,,0.00030021,0.835733847,,0.002182746,,0.360168373,,0,,0.030714477,0.338141707,,4.971335737,0.917750683,0.193574022,,0.02608791,0.518854655,,0.809645937,적정의견
팜스빌,0.188826339,,16.06060333,0.660610784,0.011366597,0.032702213,,0.372823533,0.014912684,,0.006005366,,0.210484033,,0.081706531,,0.005974079,0,,3.089539034,0.366613151,0.057695688,,0.027719495,0.036014348,,-0.012806811,적정의견
DSR,0.052396222,,5.476249273,0.130136288,0,0.164393665,,0.062007049,0.048203488,,0.001071102,,0.312081491,,0,,0,0,,2.695403022,0.961035426,0.290533215,,0.008477835,0.459253393,,0.039725653,적정의견
엠에스씨,0.125841041,,6.850043565,0.215049475,0.002629116,0.128039995,,9.61E-05,4.13510165,,0.011498582,,0.304709316,,0,,0.012301593,0,,2.816933022,0.831217877,0.244401996,,0.007992442,0.393583404,,4.127109209,적정의견
옵투스제약,0.232473928,,9.079641512,0.567467582,-0.014751866,0.04507781,,0.300122367,0.020139424,,0.007905054,,0.276475955,,0,,0,0,,2.532058159,0.416461026,0.069915988,,0.121522173,0.000522042,,-0.101382749,적정의견
삼아제약,0.042206749,,3.030375892,0.597402315,0,0.095360365,,0.241254311,0.039657388,,0.052538327,,0.195973686,,0.00343741,,0.029268283,0,,2.35609669,0.367055328,0.049379032,,0.030521347,0.021756144,,0.009136041,적정의견
한스바이오메드,0.054469809,,8.054886405,0.494585717,0.378965307,0.056680006,,0.102712132,0.010350701,,0.042744332,,0.359931459,,0.343517713,,0.008654247,0.012323965,,1.599550772,0.434589752,0.144257625,,0.041401251,0.652752924,,-0.031050549,적정의견
한국화장품제조,0.285587202,,4.626281674,0.137273657,0.000783627,0.191486871,,0.030201564,0.059801912,,0.051175056,,0.241334118,,0.037818493,,0.024490111,0,,7.958011806,0.850753522,0.096037214,,0.023556615,0.332829599,,0.036245296,적정의견
동일고무벨트,0.10950976,,3.070892065,0.167005275,-0.002505447,0.287955012,,0.017681829,0.011080225,,0.007092856,,0.43240317,,0.371450913,,0.000896475,0,,6.896809954,0.886143125,0.106802935,,0.007617185,0.296787863,,0.00346304,적정의견
에이티세미콘,0.060073358,,15.47021877,0.039338474,0.255877153,0.032879537,,0.233703261,0.002395697,,0.015443816,,0.465335504,,0.012746538,,0.029527997,0,,14.32491942,1.029255837,0.034111464,,0.064459513,0.424875548,,-0.062063815,적정의견
유니테크노,0.175855673,,5.637292955,0.177174162,0,0.110637294,,0.039477412,0.018353709,,0.004543915,,0.47816675,,0.085966316,,0.021624289,0,,6.114178483,0.830608288,0.08393478,,0.052221297,0.118845292,,-0.033867587,적정의견
알피바이오,0.043611359,,5.392187481,0.112537975,-0.00169621,0.148329777,,0.010082812,0.114281436,,0.006142391,,0.618977215,,0.141638362,,0.003746266,0,,4.520620148,1.082537292,0.157016428,,0.012325108,0.552738478,,0.101956328,0
티에스넥스젠,0.381459049,,2.217359331,0.053880865,-0.049154166,0.084354732,,0.056765394,0.05714367,,0.038853917,,0.091106505,,0.086898594,,0.004362121,0,,1.972373466,0.626675708,0.089722678,,0.039158279,0.74251732,,0.017985391,적정의견
서호전기,0.158154704,,9.844553569,0.410811452,-0.030945061,0.074220322,,0.22639611,0.049590714,,0.005021935,,0.245974373,,0.012679894,,0.002533546,0,,6.301377056,0.641175793,0.068318401,,0.062391125,0.007501883,,-0.012800411,적정의견
쌍방울,0.021851955,,8.453330105,0.270038546,0.094654813,0.029005533,,0.52500881,0.013175477,,0.03623983,,0.044469126,,0.013930328,,0.003129306,0,,1.784335698,0.73318675,0.100307185,,0.011425317,0.375257957,,0.00175016,적정의견
위더스제약,0.116243252,,3.081194215,0.583861897,0.012232252,0.156626237,,0.287119138,0.011494396,,0.016164662,,0.21330645,,0.028001614,,0.055329471,0.779989403,,2.935180755,0.441924503,0.068420496,,0.012017446,0.226576044,,-0.00052305,적정의견
케이엔제이,0.09172692,,8.678631712,0.27910533,0.024864113,0.057175797,,0.03416749,0.147621507,,0.005032149,,0.498526968,,0.006325038,,0.0253161,0,,3.593211248,0.691740055,0.099552587,,0.028835729,0.236234294,,0.118785778,적정의견
RF머트리얼즈,0.175282675,,6.574847162,0.188544042,-0.011344158,0.080580425,,0.210953945,0.022254788,,0.011047094,,0.321958941,,0.174852006,,0.030343273,0,,3.055792256,1.273604537,0.140687768,,0.212968584,0.067602445,,-0.190713796,적정의견
나래나노텍,0.108221256,,7.343830258,0.256976695,0,0.123082745,,0.01875012,0.007651368,,0.006984435,,0.50188397,,0.131859377,,0.005775253,0,,17.24980289,1.154425322,0.038934814,,0.014311295,0.611641002,,-0.006659927,적정의견
우림피티에스,0.190420196,,5.382271987,0.149371748,0.020553742,0.121433293,,0.014403998,0.165106798,,0.004182132,,0.428876403,,0.121826815,,0.024098063,0,,3.629682115,0.877053196,0.153170321,,1,0,,-0.834893202,적정의견
폴라리스세원,0.199802028,,4.060059636,0.132727385,-0.00994177,0.112099285,,0.200840957,0.010823556,,0.012653902,,0.157500613,,0.025731284,,0.089935626,0,,4.298376572,1.011060278,0.09183039,,0.026458645,0.305396275,,-0.01563509,적정의견
씨티케이,0.228373866,,8.338011676,0.282774705,-0.014884148,0.06623877,,0.072962691,0.023439913,,0.089382601,,0.191666272,,0.248006947,,0.017048561,0,,16.78581003,0.696220599,0.023598698,,0.05123789,0.042972591,,-0.027797977,적정의견
현우산업,0.073586297,,5.431479833,0.072783815,0.00080256,0.177917679,,0.046076072,0.028420994,,0.003476306,,0.497882331,,0.053767897,,0.002505574,0,,5.306694127,1.013695519,0.16884734,,0.037937412,0.216404597,,-0.009516418,적정의견
에너토크,0.095464547,,3.824362186,0.293117304,-0.048063966,0.11364428,,0.130921615,0.062483796,,0.017215525,,0.291408053,,0.024463458,,0.010755966,0,,3.241894308,0.693769666,0.094766555,,0.512331041,0.001948538,,-0.449847245,적정의견
CJ씨푸드,0.000817889,,63.06144315,0.135874521,0,0.01927576,,0.224292868,1.25E-05,,0.006285283,,0.434467058,,0,,0.001230461,0,,8.367039377,0.913055279,0.125539503,,0.032443221,0.141065644,,-0.032430753,적정의견
브이원텍,0.097331312,,7.092701523,0.27240305,0.057464341,0.054398386,,0.189091378,0.05886152,,0.019815027,,0.126326976,,0.020877436,,0.15693148,0,,2.64319927,1.023510549,0.106208353,,0.031575511,0.018252844,,0.027286009,적정의견
우리산업홀딩스,0.052478812,,5.651508448,0.120706208,0.01042562,0.169212059,,0.064857863,0.014811832,,0.009150174,,0.24892802,,0.066969292,,0.199453607,0.605986344,,4.21631095,0.907415168,0.19943302,,0.022610687,0.269092908,,-0.007798855,적정의견
지엠비코리아,0.01782497,,4.445172358,0.138055461,0.014417582,0.228781704,,0.015112597,0.063973753,,0.009005648,,0.420124222,,0.181719647,,0.004683136,0,,4.165214346,0.944521508,0.21045142,,0.01243919,0.503290414,,0.051534563,적정의견
센코,0.383929987,,4.769341044,0.363249714,0.025802752,0.078920966,,0.042834528,0.036778216,,0.020037045,,0.230316529,,0.039977466,,0.067419294,0,,1.861317484,0.780211187,0.128765483,,0.677246976,0.018409805,,-0.640468759,적정의견
한라IMS,0.058916274,,7.911607899,0.236923102,0.049946036,0.04000885,,0.123017842,0.099234322,,0.009367205,,0.439716849,,0.037284472,,0.014245573,0,,3.002764401,0.812831958,0.080439223,,0.023730474,0.354771079,,0.075503848,적정의견
디에이테크놀로지,0.084353304,,4.391370436,0.01128602,0.060794098,0.069674549,,0.352388251,0.025195282,,0.012644722,,0.122874772,,0.033560344,,0.01436463,0.412189546,,5.905416949,0.714192024,0.051226459,,0.02686221,0.469365252,,-0.001666929,적정의견
코메론,0.094033464,,6.348131842,0.371890078,0,0.061342853,,0.139910847,0.046931379,,0,,0.152945741,,0,,0.007710522,0,,2.043754496,0.709890568,0.119678692,,0.009301999,0.036056976,,0.03762938,적정의견
엑시콘,0.068653064,,4.93547676,0.352180083,0,0.087374976,,0.058639747,0.046515556,,0.004275855,,0.327058233,,0.132076562,,0.003269589,0,,3.307149051,0.74856755,0.084472765,,0.024822132,0.070522297,,0.021693424,적정의견
